rezago_horas,correlacion,correlacion_parcial,pares_disponibles
1,0.9117859973569002,0.9117859973569002,19343
2,0.8003934121969193,-0.18358122112800382,19297
3,0.7127059269578268,0.10020661205000982,19251
4,0.6401981291875724,0.0004913712534216116,19206
5,0.5796104696206354,0.028320643407248162,19161
6,0.5339876390450877,0.05012783731253608,19117
7,0.5024682515843681,0.05122225017682641,19082
8,0.48173791688406953,0.049835511333907526,19046
9,0.47116938423095306,0.06221409381270214,19015
10,0.46908144263942847,0.061202886887527674,18985
11,0.46714213569071383,0.024053928097881972,18958
12,0.46399371919578764,0.03364976951896105,18938
13,0.4564579382784455,0.0055900991703198835,18920
14,0.4486637339215767,0.034780670804688274,18906
15,0.44456324708011347,0.044390403312702935,18892
16,0.44580247988056704,0.054159248288994724,18878
17,0.45567661632696776,0.0793309091254739,18863
18,0.47465280032813995,0.08636998273167022,18849
19,0.5023572550075539,0.1007750449357446,18836
20,0.5393447438463131,0.12219011182266014,18823
21,0.578019762397288,0.0948344218125883,18811
22,0.6138106300407619,0.0975826386206805,18799
23,0.6405351328956397,0.0678807545071696,18787
24,0.6511372732133653,0.02773172492442833,18775
25,0.6324882840066882,-0.07192510205903395,18765
26,0.5960519125303441,-0.0268589913418596,18755
27,0.5508046947539238,-0.04990614692359853,18744
28,0.5051494246348877,-0.025520787955070415,18736
29,0.46214338889606327,-0.037660923502785805,18728
30,0.4309197279279507,0.009993400803066113,18720
