fecha_hora,PM10,PM2_5,NO2
2022-01-01,612,612,612
2022-02-01,655,655,663
2022-03-01,744,744,744
2022-04-01,709,709,708
2022-05-01,714,714,711
2022-06-01,650,650,642
2022-07-01,716,716,715
2022-08-01,724,724,723
2022-09-01,690,690,687
2022-10-01,656,656,678
2022-11-01,720,720,720
2022-12-01,646,646,649
2023-01-01,744,744,744
2023-02-01,632,632,632
2023-03-01,643,643,643
2023-04-01,669,669,696
2023-05-01,744,744,744
2023-06-01,5,720,720
2023-07-01,561,566,731
2023-08-01,705,705,744
2023-09-01,701,701,701
2023-10-01,744,744,744
2023-11-01,714,714,714
2023-12-01,744,744,5
2024-01-01,729,729,724
2024-02-01,696,696,696
2024-03-01,690,690,684
2024-04-01,714,714,720
